0	9209	1.0
1	31	1.0
2	4633	1.0
3	204	0.629302
3	267	1.0
3	433	1.0
3	1643	0.629741
3	1931	1.0
3	2430	1.0
3	2514	0.629741
3	2526	0.624634
3	2869	1.0
3	2899	0.575199
3	2909	1.0
3	3079	0.603685
3	3653	0.538571
3	3937	1.0
3	5211	1.0
3	5715	1.0
3	6035	0.626684
3	6628	1.0
3	8273	0.598227
3	9376	1.0
3	9688	0.543702
3	9994	0.625209
3	10471	1.0
3	11151	0.629602
3	11441	1.0
3	11613	1.0
3	11728	1.0
3	12151	1.0
4	1174	0.505825
4	2198	0.508641
4	2209	1.0
4	2912	0.582285
4	5260	0.56005
4	8868	1.0
4	8955	1.0
4	9401	1.0
4	9852	1.0
4	9894	1.0
4	10858	0.529167
4	12202	1.0
5	132	1.0
5	385	1.0
5	461	1.0
5	771	1.0
5	832	1.0
5	944	1.0
5	1082	1.0
5	1468	1.0
5	1724	1.0
5	1847	1.0
5	2008	1.0
5	2066	1.0
5	2387	1.0
5	3029	1.0
5	3068	1.0
5	3395	1.0
5	3689	1.0
5	3744	0.511787
5	3772	1.0
5	3830	1.0
5	3898	1.0
5	4002	1.0
5	4085	1.0
5	4532	1.0
5	4817	1.0
5	4854	1.0
5	5041	1.0
5	5162	1.0
5	5199	1.0
5	5403	1.0
5	5525	1.0
5	5621	1.0
5	5940	1.0
5	6103	1.0
5	6476	1.0
5	6740	1.0
5	6760	1.0
5	7249	1.0
5	7451	1.0
5	7650	1.0
5	7725	1.0
5	8019	1.0
5	8032	1.0
5	8402	1.0
5	8593	1.0
5	8604	1.0
5	8738	1.0
5	8839	1.0
5	9100	1.0
5	9848	1.0
5	9961	1.0
5	10170	1.0
5	10186	1.0
5	10284	1.0
5	10850	1.0
5	10986	1.0
5	10994	1.0
5	11784	1.0
5	11968	1.0
5	11997	1.0
6	165	1.0
6	1282	1.0
6	1924	1.0
6	3571	1.0
6	4257	1.0
6	5260	1.0
6	5590	1.0
6	6035	1.0
6	6102	0.509255
6	6418	1.0
6	6499	0.550962
6	7727	1.0
6	8525	1.0
6	9175	0.543787
6	9471	1.0
6	9737	1.0
6	11238	1.0
6	11628	1.0
7	2069	0.61786
7	3384	1.0
7	10555	1.0
8	3107	1.0
9	12111	1.0
10	5567	1.0
10	6092	1.0
10	7388	0.574487
10	9713	0.585665
10	10284	1.0
11	2617	1.0
12	553	1.0
12	1081	1.0
12	1160	1.0
12	1182	1.0
12	1905	1.0
12	2054	1.0
12	2539	1.0
12	3552	1.0
12	4527	1.0
12	4655	1.0
12	5120	1.0
12	5307	1.0
12	6566	1.0
